municipio_norm,uf_sigla,municipio_ri_norm,observacao
PIEN,PR,RIO NEGRO,Importado da revisao - sugestao distancia (RIO NEGRO)
PLANALTINA DO PARANA,PR,LOANDA,Importado da revisao - sugestao distancia (LOANDA)
PLANALTO,PR,CAPANEMA,Importado da revisao - sugestao distancia (CAPANEMA)
PORTO AMAZONAS,PR,PALMEIRA,Importado da revisao - sugestao distancia (PALMEIRA)
PORTO BARREIRO,PR,LARANJEIRAS DO SUL,Importado da revisao - sugestao distancia (LARANJEIRAS DO SUL)
PORTO RICO,PR,LOANDA,Importado da revisao - sugestao distancia (LOANDA)
PORTO VITORIA,PR,UNIAO DA VITORIA,Importado da revisao - sugestao distancia (UNIAO DA VITORIA)
PRADO FERREIRA,PR,JAGUAPITA,Importado da revisao - sugestao distancia (JAGUAPITA)
PRANCHITA,PR,SANTO ANTONIO DO SUDOESTE,Importado da revisao - sugestao distancia (SANTO ANTONIO DO SUDOESTE)
PRESIDENTE CASTELO BRANCO,PR,MANDAGUACU,Importado da revisao - sugestao distancia (MANDAGUACU)
PEROLA D'OESTE,PR,CAPANEMA,Importado da revisao - sugestao distancia (CAPANEMA)
QUARTO CENTENARIO,PR,GOIOERE,Importado da revisao - sugestao distancia (GOIOERE)
QUATIGUA,PR,JOAQUIM TAVORA,Importado da revisao - sugestao distancia (JOAQUIM TAVORA)
QUATRO PONTES,PR,MARECHAL CANDIDO RONDON,Importado da revisao - sugestao distancia (MARECHAL CANDIDO RONDON)
QUERENCIA DO NORTE,PR,SANTA ISABEL DO IVAI,Importado da revisao - sugestao distancia (SANTA ISABEL DO IVAI)
QUINTA DO SOL,PR,ENGENHEIRO BELTRAO,Importado da revisao - sugestao distancia (ENGENHEIRO BELTRAO)
QUITANDINHA,PR,LAPA,Importado da revisao - sugestao distancia (LAPA)
RAMILANDIA,PR,MATELANDIA,Importado da revisao - sugestao distancia (MATELANDIA)
RANCHO ALEGRE,PR,SERTANOPOLIS,Importado da revisao - sugestao distancia (SERTANOPOLIS)
RANCHO ALEGRE D'OESTE,PR,GOIOERE,Importado da revisao - sugestao distancia (GOIOERE)
RENASCENCA,PR,MARMELEIRO,Importado da revisao - sugestao distancia (MARMELEIRO)
RESERVA DO IGUACU,PR,MANGUEIRINHA,Importado da revisao - sugestao distancia (MANGUEIRINHA)
RIO AZUL,PR,REBOUCAS,Importado da revisao - sugestao distancia (REBOUCAS)
RIO BOM,PR,MARILANDIA DO SUL,Importado da revisao - sugestao distancia (MARILANDIA DO SUL)
RIO BONITO DO IGUACU,PR,LARANJEIRAS DO SUL,Importado da revisao - sugestao distancia (LARANJEIRAS DO SUL)
RIO BRANCO DO IVAI,PR,CANDIDO DE ABREU,Importado da revisao - sugestao distancia (CANDIDO DE ABREU)
RONCADOR,PR,IRETAMA,Importado da revisao - sugestao distancia (IRETAMA)
RONDON,PR,CIDADE GAUCHA,Importado da revisao - sugestao distancia (CIDADE GAUCHA)
ROSARIO DO IVAI,PR,GRANDES RIOS,Importado da revisao - sugestao distancia (GRANDES RIOS)
SABAUDIA,PR,ASTORGA,Importado da revisao - sugestao distancia (ASTORGA)
SALGADO FILHO,PR,BARRACAO,Importado da revisao - sugestao distancia (BARRACAO)
SALTO DO ITARARE,PR,SIQUEIRA CAMPOS,Importado da revisao - sugestao distancia (SIQUEIRA CAMPOS)
SANTA AMELIA,PR,SANTA MARIANA,Importado da revisao - sugestao distancia (SANTA MARIANA)
SANTA CECILIA DO PAVAO,PR,ASSAI,Importado da revisao - sugestao distancia (ASSAI)
SANTA CRUZ DE MONTE CASTELO,PR,SANTA ISABEL DO IVAI,Importado da revisao - sugestao distancia (SANTA ISABEL DO IVAI)
SANTA INES,PR,COLORADO,Importado da revisao - sugestao distancia (COLORADO)
SANTA IZABEL DO OESTE,PR,REALEZA,Importado da revisao - sugestao distancia (REALEZA)
